lat,long,block_key
47.5112,-122.257,530330119001
47.721,-122.319,530330002003
47.7379,-122.233,530330221022
47.5208,-122.393,530330116005
47.6168,-122.045,530330323174
47.6561,-122.005,530330323153
47.3097,-122.327,530330303142
47.4095,-122.315,530330288011
47.5123,-122.337,530330265001
47.3684,-122.031,530330320112
47.6007,-122.145,530330236042
47.69,-122.292,530330024003
47.7558,-122.229,530330217005
47.6127,-122.045,530330322031
47.67,-122.394,530330032003
47.5714,-122.375,530330099001
47.7277,-121.962,530330324021
47.6648,-122.343,530330050001
47.3089,-122.21,530330306001
47.3343,-122.306,530330300052
47.7025,-122.341,530330013001
47.5316,-122.233,530330246022
47.3266,-122.169,530330312051
47.3533,-122.166,530330296013
47.3739,-122.172,530330295021
47.3048,-122.218,530330306003
47.6386,-122.36,530330068002
47.6221,-122.314,530330075001
47.695,-122.304,530330021003
47.7073,-122.11,530330323214
47.5391,-122.07,530330250062
47.7274,-122.357,530330004012
47.6823,-122.368,530330030001
47.6889,-122.375,530330030002
47.4276,-122.157,530330293073
47.6827,-122.31,530330026002
47.6621,-122.132,530330228022
47.6702,-122.362,530330034003
47.3341,-122.282,530330299013
47.5301,-122.18,530330247023
47.6145,-122.027,530330322141
47.445,-122.347,530330286002
47.6848,-122.016,530330323292
47.6413,-122.364,530330059005
47.4485,-122.175,530330258033
47.7443,-121.977,530330324012
47.3066,-122.371,530330303112
47.6194,-122.151,530330236031
47.6796,-122.301,530330025002
47.4041,-122.451,530330277022
47.4258,-122.322,530330287001
47.4934,-122.189,530330254003
47.6808,-122.384,530330031003
47.6989,-122.369,530330014004
47.6571,-122.281,530330041003
47.6597,-122.29,530330041005
47.3663,-122.114,530330317061
47.3663,-122.122,530330317061
47.588,-122.116,530330234033
47.5059,-122.149,530330251014
47.4336,-122.339,530330286003
47.4366,-122.335,530330285002
47.4428,-122.344,530330286006
47.6765,-122.32,530330036001
47.6113,-122.297,530330088001
47.5747,-122.304,530330100024
47.5815,-122.192,530330239003
47.3378,-122.257,530330298026
47.3621,-122.11,530330317062
47.6303,-122.215,530330241003
47.6525,-122.16,530330228013
47.7362,-122.179,530330219054
47.7168,-122.287,530330008001
47.3608,-122.036,530330320111
47.3511,-122.073,530330320061
47.5822,-121.987,530330322132
47.6034,-122.125,530330233002
47.5636,-122.394,530330097023
47.7073,-122.34,530330006004
47.342,-122.025,530330316053
47.3512,-122.008,530330316031
47.349,-122.031,530330316043
47.5474,-122.291,530330104013
47.4811,-122.149,530330256021
47.7264,-122.31,530330002004
47.6337,-122.365,530330069002
47.2909,-122.189,530330311003
47.5228,-122.199,530330253012
47.518,-122.194,530330252001
47.5394,-122.387,530330116001
47.2897,-122.372,530330303123
47.6506,-122.391,530330058012
47.322,-122.351,530330302014
47.687,-122.386,530330031001
47.5873,-122.249,530330243005
47.3576,-122.277,530330298012
47.3036,-122.378,530330303064
47.4109,-121.958,530330320034
47.4838,-121.714,530330328002
47.6415,-122.315,530330061002
47.6775,-122.372,530330033001
47.7731,-122.08,530330323071
47.5814,-122.196,530330239003
47.4375,-122.184,530330293041
47.4431,-122.133,530330319081
47.6878,-122.38,530330030002
47.3813,-122.322,530330290014
47.7304,-122.082,530330323263
47.6417,-122.109,530330229023
47.5386,-122.053,530330321034
47.6823,-122.349,530330028002
47.3624,-122.031,530330320111
47.5474,-122.295,530330104013
47.3183,-122.253,530330299023
47.6981,-122.368,530330017023
47.6824,-122.347,530330028002
47.5009,-122.248,530330119002
47.4965,-122.303,530330271002
47.587,-122.294,530330095002
47.7728,-122.386,530330201003
47.7288,-122.226,530330222011
47.6999,-122.364,530330017024
47.5299,-122.266,530330118001
47.6897,-122.098,530330323251
47.6141,-122.212,530330240004
47.5091,-122.244,530330260011
47.3129,-122.39,530330303063
47.6763,-122.352,530330035001
47.5319,-121.85,530330326021
47.2761,-122.152,530330312022
47.5343,-122.054,530330321034
47.697,-122.072,530330323272
47.5517,-121.998,530330322102
47.6734,-122.38,530330033003
47.3257,-122.296,530330300061
47.3309,-122.299,530330300052
47.7689,-122.266,530330216001
47.7135,-122.287,530330008001
47.6722,-122.381,530330047003
47.6338,-122.358,530330068002
47.5707,-122.128,530330249023
47.4563,-122.171,530330258042
47.7144,-122.351,530330004023
47.5495,-122.174,530330250013
47.7421,-122.026,530330323115
47.6354,-122.353,530330068001
47.5262,-121.943,530330321023
47.3887,-122.286,530330291023
47.6873,-122.336,530330027003
47.6838,-122.353,530330028002
47.655,-122.359,530330048003
47.3255,-122.304,530330300061
47.562,-122.162,530330249012
47.679,-122.3,530330038002
47.4479,-122.176,530330258033
47.525,-122.172,530330250011
47.3135,-122.369,530330303113
47.2086,-121.996,530330314003
47.4715,-122.118,530330319032
47.4877,-122.335,530330275002
47.7171,-122.193,530330220051
47.6012,-122.023,530330322143
47.7319,-122.224,530330222011
47.4582,-122.023,530330320022
47.7209,-122.168,530330219042
47.408,-122.327,530330289014
47.565,-122.125,530330249022
47.7028,-122.231,530330222031
47.7458,-122.331,530330210005
47.4776,-122.337,530330275002
47.3026,-122.374,530330303111
47.7658,-122.339,530330203003
47.6477,-122.182,530330227031
47.5619,-122.125,530330249031
47.6106,-122.31,530330079003
47.5868,-122.308,530330094002
47.6101,-122.307,530330087001
47.1976,-121.999,530330313024
47.7224,-122.358,530330004021
47.3505,-122.179,530330296014
47.5384,-122.376,530330115003
47.7044,-122.2,530330220062
47.3848,-122.039,530330320101
47.6993,-122.102,530330323234
47.6627,-122.188,530330227021
47.3099,-122.379,530330303063
47.62,-122.043,530330323173
47.65,-122.34,530330054003
47.6647,-122.153,530330226064
47.726,-122.191,530330220031
47.4616,-122.184,530330258041
47.5505,-122.219,530330246011
47.7606,-122.336,530330206004
47.7481,-122.3,530330214002
47.2779,-122.347,530330303041
47.5511,-122.312,530330104021
47.5488,-122.372,530330107021
47.5385,-121.911,530330322101
47.4058,-121.994,530330320032
47.5093,-122.184,530330252003
47.3777,-122.165,530330317035
47.675,-122.394,530330032005
47.3025,-122.37,530330303112
47.4787,-122.158,530330256021
47.5378,-122.219,530330246022
47.7073,-122.114,530330323213
47.5733,-122.381,530330098002
47.4604,-122.339,530330279003
47.7067,-122.343,530330013002
47.354,-122.047,530330316041
47.6647,-122.284,530330042003
47.6143,-122.017,530330322141
47.3185,-122.275,530330299011
47.5458,-122.268,530330111022
47.4889,-122.299,530330271002
47.5673,-122.21,530330245001
47.5133,-122.379,530330120001
47.5884,-122.291,530330095001
47.7145,-122.367,530330005003
47.5836,-122.026,530330322111
47.398,-122.299,530330289025
47.7663,-122.215,530330218034
47.3758,-122.217,530330297001
47.3828,-122.023,530330320104
47.5123,-122.373,530330120001
47.7076,-122.013,530330323271
47.2922,-122.371,530330303123
47.4075,-122.214,530330292043
47.6794,-122.034,530330323291
47.4497,-122.375,530330278002
47.5218,-122.164,530330250011
47.3103,-122.339,530330303091
47.5687,-121.899,530330326011
47.5575,-122.303,530330104012
47.6489,-122.183,530330227031
47.3459,-121.95,530330316032
47.6136,-122.303,530330079001
47.7641,-122.023,530330323111
47.3376,-122.324,530330301001
47.3173,-122.319,530330302021
47.5308,-122.376,530330115003
47.6727,-122.299,530330043012
47.3221,-122.216,530330305043
47.6779,-122.353,530330035001
47.3076,-122.395,530330303062
47.6338,-122.072,530330323163
47.5218,-122.357,530330114022
47.2785,-122.213,530330308021
47.6846,-122.345,530330028001
47.3656,-122.278,530330298014
47.4369,-122.111,530330319062
47.4616,-121.711,530330327025
47.5405,-122.27,530330111024
47.3507,-122.178,530330296014
47.6979,-122.32,530330019002
47.5278,-122.345,530330113001
47.4756,-122.147,530330256022
47.4437,-121.772,530330327026
47.7048,-122.109,530330323214
47.6362,-122.302,530330062002
47.4207,-122.29,530330288022
47.6154,-122.047,530330323174
47.5964,-122.299,530330089004
47.4683,-122.438,530330277011
47.4045,-122.171,530330294055
47.5544,-122.358,530330108003
47.6802,-122.29,530330039001
47.2988,-122.371,530330303124
47.6312,-122.223,530330241004
47.7285,-122.042,530330323261
47.7107,-122.352,530330014001
47.3271,-122.323,530330302023
47.5053,-122.255,530330119003
47.6601,-122.4,530330057005
47.4145,-122.166,530330294051
47.4672,-122.165,530330257021
47.7618,-122.261,530330216002
47.3828,-122.071,530330320051
47.5362,-122.268,530330111024
47.3954,-122.206,530330294072
47.5048,-122.272,530330263001
47.6166,-122.287,530330078004
47.6811,-122.025,530330323292
47.7486,-122.23,530330221021
47.3846,-122.169,530330295024
47.7564,-122.144,530330323192
47.7198,-122.193,530330220035
47.5461,-122.151,530330249034
47.5712,-122.143,530330248002
47.4281,-122.343,530330286004
47.7128,-122.223,530330222031
47.3341,-122.255,530330299023
47.5399,-122.181,530330247023
47.5717,-122.375,530330099001
47.5951,-122.017,530330322143
47.3536,-122.144,530330317042
47.5084,-122.154,530330251014
47.5586,-122.311,530330104022
47.4427,-122.274,530330284033
47.6053,-122.077,530330322033
47.3494,-122.301,530330300044
47.6933,-122.393,530330015002
47.3537,-122,530330316034
47.476,-122.337,530330275002
47.6239,-122.298,530330077002
47.7776,-122.384,530330201003
47.6459,-122.058,530330323162
47.6692,-122.297,530330043012
47.5376,-122.18,530330247023
47.601,-122.294,530330089003
47.529,-121.837,530330326021
47.6345,-122.367,530330069002
47.5503,-122.102,530330250034
47.4441,-122.125,530330319075
47.7357,-122.333,530330210002
47.346,-122.157,530330317043
47.6638,-122.345,530330050001
47.48,-122.336,530330275002
47.6759,-122.151,530330226052
47.5162,-122.057,530330321041
47.2639,-122.252,530330309021
47.2929,-122.371,530330303123
47.4957,-122.352,530330267002
47.7721,-122.093,530330323073
47.644,-122.319,530330061002
47.472,-122.344,530330279001
47.592,-122.166,530330235001
47.669,-122.275,530330042001
47.42,-122.323,530330287001
47.1913,-122.012,530330313022
47.6666,-122.331,530330046003
47.5639,-122.217,530330245001
47.3483,-122.052,530330316041
47.7648,-122.164,530330218022
47.6794,-122.357,530330035001
47.7535,-122.354,530330208002
47.4945,-122.22,530330260024
47.6945,-122.093,530330323262
47.5222,-122.157,530330250051
47.7222,-122.32,530330002003
47.3796,-122.49,530330277023
47.5374,-121.875,530330326023
47.4897,-122.24,530330261003
47.4716,-122.078,530330319041
47.3581,-122.173,530330296013
47.7713,-122.307,530330204025
47.675,-121.854,530330325001
47.5603,-122.222,530330246012
47.4147,-122.337,530330286004
47.68,-122.353,530330028003
47.3117,-122.27,530330299022
47.543,-122.28,530330111014
47.3607,-122.034,530330320111
47.5759,-122.137,530330248001
47.6891,-122.159,530330226051
47.565,-122.381,530330098003
47.6359,-121.974,530330323153
47.4769,-122.141,530330256023
47.3845,-122.029,530330320102
47.6743,-122.184,530330226042
47.5651,-122.164,530330249014
47.4853,-121.709,530330328002
47.4508,-122.359,530330278003
47.6375,-122.016,530330323181
47.5944,-122.042,530330322032
47.4888,-122.182,530330254003
47.5112,-122.19,530330252001
47.7711,-122.341,530330203005
47.2813,-122.345,530330303041
47.5038,-122.189,530330252003
47.5823,-121.97,530330322101
47.7164,-122.304,530330007003
47.3624,-122.045,530330320082
47.6831,-122.329,530330036002
47.592,-122.307,530330094002
47.7461,-122.195,530330220013
47.7268,-122.06,530330323261
47.7237,-121.959,530330324021
47.6283,-122.095,530330229025
47.5543,-122.148,530330249032
47.5483,-122.226,530330246012
47.7591,-122.146,530330323192
47.4612,-122.169,530330257023
47.4987,-122.365,530330267003
47.772,-122.358,530330202001
47.5287,-122.35,530330113005
47.6109,-122.114,530330231003
47.7736,-121.901,530330324011
47.6294,-122.218,530330241004
47.5634,-122.213,530330245001
47.7405,-122.241,530330221013
47.5976,-122.118,530330233001
47.5722,-122.129,530330249023
47.5644,-122.289,530330101004
47.4556,-122.157,530330257022
47.6055,-122.305,530330087002
47.1775,-122.022,530330313022
47.6879,-122.385,530330031001
47.4807,-121.779,530330327042
47.3845,-122.032,530330320102
47.5815,-122.402,530330097025
47.6609,-122.344,530330050003
47.3163,-122.188,530330312053
47.4309,-122.191,530330293034
47.401,-122.026,530330320031
47.404,-122.191,530330294032
47.3889,-122.482,530330277022
47.7718,-122.095,530330323073
47.7067,-122.2,530330220062
47.504,-122.227,530330260024
47.7015,-122.164,530330226051
47.5753,-121.95,530330322101
47.7448,-122.333,530330210005
47.7318,-121.982,530330324022
47.5954,-121.95,530330325002
47.6885,-122.337,530330027003
47.5724,-122.179,530330247011
47.5272,-122.169,530330250011
47.4334,-122.161,530330293042
47.6073,-122.308,530330087001
47.3592,-122.046,530330320083
47.4546,-122.337,530330286005
47.6408,-122.219,530330241001
47.7245,-122.2,530330220032
47.4362,-122.178,530330293041
47.3739,-122.156,530330317035
47.7205,-122.127,530330323211
47.6636,-122.33,530330051001
47.4324,-122.197,530330293034
47.7734,-122.224,530330217002
47.559,-122.164,530330249014
47.633,-122.041,530330323172
47.6954,-122.103,530330323234
47.6776,-122.318,530330036001
47.504,-122.382,530330121001
47.2613,-122.255,530330309021
47.3417,-122.271,530330298025
47.6694,-122.275,530330042001
47.4056,-121.955,530330320034
47.3838,-122.289,530330291021
47.7487,-122.082,530330323072
47.5534,-122.078,530330250063
47.7355,-122.18,530330219054
47.7206,-122.211,530330222024
47.7691,-122.262,530330216004
47.7183,-122.258,530330223001
47.7736,-122.214,530330218031
47.362,-122.029,530330320111
47.5698,-122.121,530330250031
47.5505,-122.221,530330246011
47.7605,-122.234,530330217004
47.7356,-122.157,530330219062
47.3844,-122.438,530330277021
47.4904,-122.226,530330260023
47.3663,-122.089,530330320054
47.5637,-122.123,530330249022
47.3759,-122.125,530330317051
47.3912,-122.167,530330294061
47.3305,-122.371,530330301006
47.7617,-122.357,530330208002
47.6499,-121.909,530330325003
47.7311,-122.353,530330004011
47.3701,-122.107,530330317063
47.4857,-122.318,530330274002
47.3724,-122.042,530330320112
47.4855,-122.266,530330262001
47.6336,-122.064,530330323164
47.717,-122.281,530330009001
47.6332,-122.066,530330323163
47.5906,-122.062,530330322033
47.5461,-121.998,530330322102
47.5674,-122.29,530330101004
47.6943,-122.29,530330022002
47.5486,-122.38,530330106001
47.6658,-122.188,530330227021
47.5772,-122.153,530330248002
47.3875,-122.161,530330318001
47.6344,-122.174,530330237002
47.5275,-122.391,530330116003
47.6179,-122.005,530330322152
47.3078,-122.378,530330303064
47.5521,-122.137,530330249032
47.5158,-122.264,530330118003
47.5985,-121.977,530330322152
47.5645,-122.082,530330234042
47.6734,-122.154,530330226063
47.4734,-122.186,530330257011
47.3811,-122.087,530330320051
47.7081,-122.215,530330222025
47.7193,-122.216,530330222024
47.6192,-122.301,530330077004
47.5836,-122.387,530330096002
47.3841,-122.284,530330291022
47.5872,-122.39,530330096004
47.5322,-121.88,530330326023
47.5416,-121.864,530330326024
47.6799,-122.381,530330030004
47.3672,-122.151,530330317031
47.684,-122.205,530330224003
47.4404,-122.191,530330293032
47.4467,-122.281,530330284023
47.6729,-122.363,530330034001
47.5346,-122.385,530330116002
47.6454,-122.373,530330059002
47.6821,-122.196,530330224004
47.7206,-122.11,530330323223
47.4877,-122.139,530330256023
47.6554,-122.018,530330323153
47.7343,-122.347,530330209001
47.5789,-122.393,530330097021
47.7439,-122.339,530330210004
47.3818,-122.225,530330297001
47.6734,-122.173,530330226043
47.6415,-122.285,530330063003
47.4711,-122.084,530330319043
47.452,-122.177,530330258031
47.4973,-122.221,530330260024
47.7546,-122.341,530330207001
47.4667,-122.215,530330258063
47.5186,-122.374,530330114023
47.6221,-122.193,530330240001
47.683,-122.039,530330323291
47.6033,-121.943,530330325002
47.7315,-122.305,530330002006
47.6917,-122.084,530330323262
47.3608,-122.056,530330320082
47.2852,-122.19,530330311002
47.5931,-122.071,530330322033
47.4097,-122.316,530330288011
47.3105,-122.021,530330316033
47.4296,-122.161,530330293072
47.7373,-122.197,530330220011
47.6582,-122.345,530330050002
47.3577,-122.16,530330317043
47.449,-122.205,530330258062
